day,day_label,week,week_label,month,month_label,quarter,quarter_label,fiscalhalf,fiscalhalf_label,fiscalyear,fiscalyear_label,dayofweek,dayofweek_label,dayofseason,dayofseason_label,weekofyear,weekofyear_label,weakofseason,weakofseason_label
20150128,1/28/2015,W04_2015,1/30/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,WED,Wednesday,DOS26,DOS 26,WY05,Week 05,WS04,WOS 04
20150129,1/29/2015,W04_2015,1/30/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,THR,Thursday,DOS27,DOS 27,WY05,Week 05,WS04,WOS 04
20150130,1/30/2015,W04_2015,1/30/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,FRI,Friday,DOS28,DOS 28,WY05,Week 05,WS04,WOS 04
20150131,1/31/2015,W05_2015,2/6/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SAT,Saturday,DOS29,DOS 29,WY06,Week 06,WS05,WOS 05
20150201,2/1/2015,W05_2015,2/6/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SUN,Sunday,DOS30,DOS 30,WY06,Week 06,WS05,WOS 05
20150202,2/2/2015,W05_2015,2/6/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,MON,Monday,DOS31,DOS 31,WY06,Week 06,WS05,WOS 05
20150203,2/3/2015,W05_2015,2/6/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,TUE,Tuesday,DOS32,DOS 32,WY06,Week 06,WS05,WOS 05
20150204,2/4/2015,W05_2015,2/6/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,WED,Wednesday,DOS33,DOS 33,WY06,Week 06,WS05,WOS 05
20150205,2/5/2015,W05_2015,2/6/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,THR,Thursday,DOS34,DOS 34,WY06,Week 06,WS05,WOS 05
20150206,2/6/2015,W05_2015,2/6/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,FRI,Friday,DOS35,DOS 35,WY06,Week 06,WS05,WOS 05
20150207,2/7/2015,W06_2015,2/13/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SAT,Saturday,DOS36,DOS 36,WY07,Week 07,WS06,WOS 06
20150208,2/8/2015,W06_2015,2/13/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SUN,Sunday,DOS37,DOS 37,WY07,Week 07,WS06,WOS 06
20150209,2/9/2015,W06_2015,2/13/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,MON,Monday,DOS38,DOS 38,WY07,Week 07,WS06,WOS 06
20150210,2/10/2015,W06_2015,2/13/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,TUE,Tuesday,DOS39,DOS 39,WY07,Week 07,WS06,WOS 06
20150211,2/11/2015,W06_2015,2/13/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,WED,Wednesday,DOS40,DOS 40,WY07,Week 07,WS06,WOS 06
20150212,2/12/2015,W06_2015,2/13/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,THR,Thursday,DOS41,DOS 41,WY07,Week 07,WS06,WOS 06
20150213,2/13/2015,W06_2015,2/13/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,FRI,Friday,DOS42,DOS 42,WY07,Week 07,WS06,WOS 06
20150214,2/14/2015,W07_2015,2/20/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SAT,Saturday,DOS43,DOS 43,WY08,Week 08,WS07,WOS 07
20150215,2/15/2015,W07_2015,2/20/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SUN,Sunday,DOS44,DOS 44,WY08,Week 08,WS07,WOS 07
20150216,2/16/2015,W07_2015,2/20/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,MON,Monday,DOS45,DOS 45,WY08,Week 08,WS07,WOS 07
20150217,2/17/2015,W07_2015,2/20/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,TUE,Tuesday,DOS46,DOS 46,WY08,Week 08,WS07,WOS 07
20150218,2/18/2015,W07_2015,2/20/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,WED,Wednesday,DOS47,DOS 47,WY08,Week 08,WS07,WOS 07
20150219,2/19/2015,W07_2015,2/20/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,THR,Thursday,DOS48,DOS 48,WY08,Week 08,WS07,WOS 07
20150220,2/20/2015,W07_2015,2/20/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,FRI,Friday,DOS49,DOS 49,WY08,Week 08,WS07,WOS 07
20150221,2/21/2015,W08_2015,2/27/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SAT,Saturday,DOS50,DOS 50,WY09,Week 09,WS08,WOS 08
20150222,2/22/2015,W08_2015,2/27/2015,FEB_2015,February FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SUN,Sunday,DOS51,DOS 51,WY09,Week 09,WS08,WOS 08
